eventid,ccode,id,countryname,startdate,enddate,stday,stmo,styr,eday,emo,eyr,duration,etype,escalation,actor1,actor2,actor3,target1,target2,cgovtarget,rgovtarget,npart,ndeath,repress,elocal,ilocal,sublocal,locnum,gislocnum,issue1,issue2,issue3,issuenote,nsource,acd_questionable,notes,female_event,lgbtq_issue,coder,latitude,longitude,geo_comments,location_precision
400001,40,1,Cuba,28-Jan-90,28-Jan-90,28,1,1990,28,1,1990,1,2,0,Citizens,,,U.S. government,,0,0,5,0,0,Unknown,Unknown,1,-99,-99,8,,,"Citizens demonstrated against U.S. plans for television station to beam programming into Cuba, Castro delivered speech at rally.",AP,0,,0,0,MW,21.950001,-79.550003,Unknown location,no
400002,40,2,Cuba,5-Mar-90,5-Mar-90,5,3,1990,5,3,1990,1,2,0,Government supporters,,,Sebastian Arcos - dissident,Other dissidents,0,0,-99,0,0,Unknown,Unknown,1,-99,-99,11,,,Pro-government demonstration occurred in front of Arcos' home to protest meeting of dissidents.,AP,0,,0,0,MW,21.950001,-79.550003,Unknown location,no
400003,40,3,Cuba,8-Mar-90,8-Mar-90,8,3,1990,8,3,1990,1,2,0,Government supporters,,,Gustavo Arcos - human rights activist and dissident,Three other dissidents,0,0,3,0,0,Unknown,Unknown,1,-99,-99,11,,,"Pro-government demonstration occurred outside home where meeting of dissidents occurred, chanting anti-U.S. slogans and support for Castro.",AP,0,,0,0,MW,21.950001,-79.550003,Unknown location,no
400004,40,4,Cuba,9-Jul-90,26-Jul-90,9,7,1990,26,7,1990,18,2,4,Cuban asylum-seekers,,,Czechoslovak/Italian/Spanish/Swiss governments,Cuban government,1,0,2,0,1,Havana,Havana,1,1,1,10,,,"Asylum-seekers sought refuge in Czechoslovak, Spanish, Swiss & Italian embassies. 7 Cubans took hostages at Czechoslovak embassy. One arrested at Spanish embassy.",AP,0,Is asylum-seeking at embassies a codeable event? Is hostage-taking codeable? Not explicitly stated when event ended.,0,0,MW,23.05407,-82.345192,,
400005,40,5,Cuba,17-Jul-90,17-Jul-90,17,7,1990,17,7,1990,1,7,0,Police,,,Citizen,,0,0,-99,0,0,Havana,Havana,1,1,1,11,,,Man was beaten and taken away by police after attempting to enter U.S. interests section of the Swiss embassy.,AP,0,Exact date not specified; event date approximated,0,0,MW,23.05407,-82.345192,,
400006,40,6,Cuba,26-Dec-90,26-Dec-90,26,12,1990,26,12,1990,1,4,0,Mozambican students,,,Government of Mozambique,,0,0,-99,1,0,Isla de la Juventud,Isla de la Juventud,1,3,3,7,,,Students rioted to demand stipends for their grant studies program from Mozambican government.,AP,0,,0,0,MW,21.66667,-82.833344,Location set to center point of the island.,
400007,40,7,Cuba,15-Nov-91,15-Nov-91,15,11,1991,15,11,1991,1,7,0,Pro-government mob,,,Maria Elena Cruz Varela,,0,0,-99,0,0,Havana,Havana,1,-99,1,11,,,Cruz Varela was dragged from her house by mob that tried to force papers with her writings down her throat.,Both,0,"Date not given, so estimated here.",0,0,MW,23.05407,-82.345192,,
400008,40,8,Cuba,9-Jan-92,9-Jan-92,9,1,1992,9,1,1992,1,8,0,7 citizens,,,3 Interior Ministry agents,,1,0,2,3,0,Tarara,Tarara,1,3,3,10,,,7 citizens killed 3 agents while attempting to flee the island.,AP,0,Unclear if this is same event as one below.,0,0,MW,23.174509,-82.206703,,
400009,40,9,Cuba,11-Jan-92,11-Jan-92,11,1,1992,11,1,1992,1,8,0,Citizens,,,Government agents,,1,0,-99,3,0,Unknown,Unknown,1,-99,-99,10,,,3 government agents killed in citizens' botched attempt to flee the island.,AP,0,"Date not given, so estimated here. Unclear if this is same event as one above.",0,0,MW,21.950001,-79.550003,Unknown location,no
400010,40,10,Cuba,16-Jan-92,16-Jan-92,16,1,1992,16,1,1992,1,2,0,Angry crowds,,,Gustavo Arcos,Sebastian Arcos Bergnes,0,0,-99,0,0,Unknown,Unknown,1,-99,-99,11,,,Angry crowds gathered outside houses of human rights activists after they were implicated in testimony.,AP,0,,0,0,MW,21.950001,-79.550003,Unknown location,no
400011,40,11,Cuba,16-Jan-92,17-Jan-92,16,1,1992,17,1,1992,2,2,0,brigades of pro-government citizens,,,"Elizardo Sanchez - opposition leader, leader of Cuban Commission on Human Rights and National Reconciliation",,0,0,-99,0,0,Havana,Havana,1,1,1,11,,,was targeted at Sanchez prior to his phone line being cut.,AP,0,"Not explicitly stated that this occurred in Havana, but appears to be the case. Implied that rapid action brigage was actor.  Event dates approximated",0,0,MW,23.05407,-82.345192,,
400012,40,12,Cuba,26-Jan-92,26-Jan-92,26,1,1992,26,1,1992,1,7,0,Police,,,Spanish journalist Santiago Aroca,,0,0,-99,0,0,Havana,Havana,1,1,1,11,,,"Aroca was arrested and beaten by police after interviewing family of executed exile, then expelled from Cuba.",AP,0,,0,0,MW,23.05407,-82.345192,,
400013,40,13,Cuba,1-May-92,1-May-92,1,5,1992,1,5,1992,1,1,0,Citizens,Pedro Ross Leal - president of Cuban Workers Federation,,United States government,,0,0,-99,0,0,Havana,Havana,1,1,1,8,11,,Marchers and bicyclers demonstrated against U.S. policy toward Cuba.,AP,0,Very little information,0,0,MW,23.05407,-82.345192,,
400014,40,14,Cuba,7-Oct-92,7-Oct-92,7,10,1992,7,10,1992,1,8,0,anti-Castro exile group,Tony Cuesta - leader of Comandos L,,Melia Varadero hotel,Government,1,0,1,0,0,Varadero,Varadero,1,3,3,10,,,An anti-government demonstration escalated to anti-government violence.,AP,0,,0,0,MW,23.179859,-81.18853,,
400015,40,15,Cuba,10-Dec-92,10-Dec-92,10,12,1992,10,12,1992,1,7,0,Police,,,Elizardo Sanchez - leading dissident,,0,0,-99,0,0,Havana,Havana,1,1,1,11,,,"Police broke into Sanchez's house, beat him, and carried him off.",Both,0,,0,0,MW,23.05407,-82.345192,,
400016,40,16,Cuba,10-Dec-92,10-Dec-92,10,12,1992,10,12,1992,1,7,0,Plainclothed police,Citizens,,Gustavo Arcos Bergnes - secretary general of the Cuban Committee for Human Rights,Elizardo Sanchez - leading dissident,0,0,-99,0,0,Unknown,Unknown,1,-99,-99,11,,,"Plainclothed police surrounded home of Arcos and another dissident, shouted obscenities and threw stones.",Both,0,appear to be police. Police are referenced earlier in sentence. Coded as an etype 1 because participation in protest was obligatory,0,0,MW,21.950001,-79.550003,Unknown location,no
400017,40,17,Cuba,25-Jun-93,25-Jun-93,25,6,1993,25,6,1993,1,7,0,Cuban border patrol,,,Cuban citizens,,0,0,-99,-88,0,Near Guantanamo Naval Base,Near Guantanamo Naval Base,1,3,3,11,,,"On 5 separate occasions, border guards opened fire or used grenades on Cubans trying to reach naval base.",AP,0,"Dates of events not given, so estimated here.  Coded as an etype 1 because participation in protest was obligatory",0,0,MW,20.003759,-75.205544,Location set to just outside Guantanamo NAS.,no
400018,40,18,Cuba,1-Jul-93,1-Jul-93,1,7,1993,1,7,1993,1,7,0,Cuban border patrol,,,U.S. citizen Ricky Hoddynot,3 Cuban citizens,0,0,1,3,0,Cojimar,Cojimar,1,3,3,11,,,"Border patrol fired on private U.S. boat picking up refugees, killing 3 Cubans.",AFP,0,Coded as an etype 1 because participation in protest was obligatory,0,0,MW,23.1647,-82.292953,,
