DEPT,MUNI,UNE_NUM_VOTES,PERC_UNE,FCN_NUM_VOTES,PERC_FCN
GUATEMALA,NIVEL DEPARTAMENTAL,103064,17.00,503052,83.00
GUATEMALA,GUATEMALA,66774,15.74,357578,84.26
GUATEMALA,SANTA CATARINA PINULA,3873,13.56,24684,86.44
GUATEMALA,SAN JOSE PINULA,4379,20.57,16909,79.43
GUATEMALA,SAN JOSE DEL GOLFO,921,28.39,2323,71.61
GUATEMALA,PALENCIA,2067,14.84,11861,85.16
GUATEMALA,CHINAUTLA,9346,21.29,34553,78.71
GUATEMALA,SAN PEDRO AYAMPUC,4507,30.30,10366,69.70
GUATEMALA,MIXCO,21662,13.72,136238,86.28
GUATEMALA,SAN PEDRO SACATEPEQUEZ,2070,13.45,13326,86.55
GUATEMALA,SAN JUAN SACATEPEQUEZ,6840,14.54,40202,85.46
GUATEMALA,SAN RAYMUNDO,1757,21.80,6303,78.20
GUATEMALA,CHUARRANCHO,1826,33.23,3669,66.77
GUATEMALA,FRAIJANES,3007,21.01,11305,78.99
GUATEMALA,AMATITLAN,7669,21.05,28765,78.95
GUATEMALA,VILLA NUEVA,17780,15.48,97064,84.52
GUATEMALA,VILLA CANALES,10818,24.70,32977,75.30
GUATEMALA,PETAPA,4542,12.26,32507,87.74
SACATEPEQUEZ,NIVEL DEPARTAMENTAL,14734,13.96,90783,86.04
SACATEPEQUEZ,ANTIGUA GUATEMALA,2971,13.90,18404,86.10
SACATEPEQUEZ,JOCOTENANGO,1101,12.55,7675,87.45
SACATEPEQUEZ,PASTORES,1077,18.95,4606,81.05
SACATEPEQUEZ,SUMPANGO,2043,22.51,7034,77.49
SACATEPEQUEZ,SANTO DOMINGO XENACOJ,714,18.93,3057,81.07
SACATEPEQUEZ,SANTIAGO SACATEPEQUEZ,770,9.81,7080,90.19
SACATEPEQUEZ,SAN BARTOLOME MILPAS ALTAS,278,10.82,2291,89.18
SACATEPEQUEZ,SAN LUCAS SACATEPEQUEZ,1018,11.02,8217,88.98
SACATEPEQUEZ,SANTA LUCIA MILPAS ALTAS,452,9.01,4565,90.99
SACATEPEQUEZ,MAGDALENA MILPAS ALTAS,323,8.83,3336,91.17
SACATEPEQUEZ,SANTA MARIA DE JESUS,631,12.55,4395,87.45
SACATEPEQUEZ,CIUDAD VIEJA,1008,12.12,7308,87.88
SACATEPEQUEZ,SAN MIGUEL DUENAS,458,13.65,2897,86.35
SACATEPEQUEZ,ALOTENANGO,1148,17.96,5243,82.04
SACATEPEQUEZ,SAN ANTONIO AGUAS CALIENTES,397,10.68,3321,89.32
SACATEPEQUEZ,SANTA CATARINA BARAHONA,345,20.31,1354,79.69
CHIMALTENANGO,NIVEL DEPARTAMENTAL,34675,21.08,129784,78.92
CHIMALTENANGO,CHIMALTENANGO,3879,12.71,26644,87.29
CHIMALTENANGO,SAN JOSE POAQUIL,3943,50.68,3837,49.32
CHIMALTENANGO,SAN MARTIN JILOTEPEQUE,4780,27.40,12665,72.60
CHIMALTENANGO,COMALAPA,3009,20.76,11483,79.24
CHIMALTENANGO,SANTA APOLONIA,894,22.15,3143,77.85
CHIMALTENANGO,TECPAN GUATEMALA,3112,19.33,12984,80.67
CHIMALTENANGO,PATZUN,4411,26.66,12135,73.34
CHIMALTENANGO,POCHUTA,798,31.31,1751,68.69
CHIMALTENANGO,PATZICIA,1822,17.75,8442,82.25
CHIMALTENANGO,SANTA CRUZ BALANYA,739,22.89,2490,77.11
CHIMALTENANGO,ACATENANGO,1729,27.05,4663,72.95
CHIMALTENANGO,YEPOCAPA,1945,21.56,7076,78.44
CHIMALTENANGO,SAN ANDRES ITZAPA,1261,17.24,6054,82.76
CHIMALTENANGO,PARRAMOS,553,12.38,3914,87.62
CHIMALTENANGO,ZARAGOZA,950,14.15,5765,85.85
CHIMALTENANGO,EL TEJAR,850,11.20,6738,88.80
EL PROGRESO,NIVEL DEPARTAMENTAL,15319,26.44,42616,73.56
EL PROGRESO,GUASTATOYA,1791,18.04,8136,81.96
EL PROGRESO,MORAZAN,1564,26.63,4309,73.37
EL PROGRESO,SAN AGUSTIN ACASAGUASTLAN,3393,30.61,7692,69.39
EL PROGRESO,SAN CRISTOBAL ACASAGUASTLAN,674,26.54,1866,73.46
EL PROGRESO,EL JICARO,1338,30.84,3000,69.16
EL PROGRESO,SANSARE,2009,41.24,2862,58.76
EL PROGRESO,SANARATE,3009,21.98,10683,78.02
EL PROGRESO,SAN ANTONIO LA PAZ,1541,27.47,4068,72.53
ESCUINTLA,NIVEL DEPARTAMENTAL,59317,29.47,141963,70.53
ESCUINTLA,ESCUINTLA,12145,28.60,30324,71.40
ESCUINTLA,SANTA LUCIA COTZUMALGUAPA,8128,25.51,23740,74.49
ESCUINTLA,LA DEMOCRACIA,2462,27.17,6599,72.83
ESCUINTLA,SIQUINALA,1096,16.35,5606,83.65
ESCUINTLA,MASAGUA,4421,34.50,8392,65.50
ESCUINTLA,TIQUISATE,4707,32.05,9980,67.95
ESCUINTLA,LA GOMERA,3641,23.81,11652,76.19
ESCUINTLA,GUANAGAZAPA,2248,50.32,2219,49.68
ESCUINTLA,SAN JOSE,6710,40.30,9940,59.70
ESCUINTLA,IZTAPA,2620,38.18,4243,61.82
ESCUINTLA,PALIN,3988,23.54,12951,76.46
ESCUINTLA,SAN VICENTE PACAYA,2111,38.54,3367,61.46
ESCUINTLA,NUEVA CONCEPCION,5040,28.02,12950,71.98
SANTA ROSA,NIVEL DEPARTAMENTAL,38103,33.16,76798,66.84
SANTA ROSA,CUILAPA,3562,30.69,8043,69.31
SANTA ROSA,BARBERENA,6547,35.85,11716,64.15
SANTA ROSA,SANTA ROSA DE LIMA,970,18.33,4321,81.67
SANTA ROSA,CASILLAS,1002,17.75,4643,82.25
SANTA ROSA,SAN RAFAEL LAS FLORES,1497,46.30,1736,53.70
SANTA ROSA,ORATORIO,2012,31.07,4464,68.93
SANTA ROSA,SAN JUAN TECUACO,1840,52.53,1663,47.47
SANTA ROSA,CHIQUIMULILLA,5424,32.66,11184,67.34
SANTA ROSA,TAXISCO,3071,33.25,6164,66.75
SANTA ROSA,SANTA MARIA IXHUATAN,2506,40.27,3717,59.73
SANTA ROSA,GUAZACAPAN,2243,36.01,3985,63.99
SANTA ROSA,SANTA CRUZ EL NARANJO,1344,28.30,3405,71.70
SANTA ROSA,PUEBLO NUEVO VINAS,3544,40.42,5223,59.58
SANTA ROSA,NUEVA SANTA ROSA,2541,28.00,6534,72.00
SOLOLA,NIVEL DEPARTAMENTAL,53243,41.50,75044,58.50
SOLOLA,SOLOLA,7478,33.63,14756,66.37
SOLOLA,SAN JOSE CHACAYA,767,45.09,934,54.91
SOLOLA,SANTA MARIA VISITACION,495,50.30,489,49.70
SOLOLA,SANTA LUCIA UTATLAN,1336,23.30,4399,76.70
SOLOLA,NAHUALA,13579,54.65,11270,45.35
SOLOLA,SANTA CATARINA IXTAHUACAN,10120,54.58,8420,45.42
SOLOLA,SANTA CLARA LA LAGUNA,928,25.12,2767,74.88
SOLOLA,CONCEPCION,314,34.02,609,65.98
SOLOLA,SAN ANDRES SEMETABAJ,1220,38.14,1979,61.86
SOLOLA,PANAJACHEL,1412,26.94,3829,73.06
SOLOLA,SANTA CATARINA PALOPO,756,41.29,1075,58.71
SOLOLA,SAN ANTONIO PALOPO,859,29.91,2013,70.09
SOLOLA,SAN LUCAS TOLIMAN,2945,30.55,6695,69.45
SOLOLA,SANTA CRUZ LA LAGUNA,849,57.99,615,42.01
SOLOLA,SAN PABLO LA LAGUNA,1476,55.47,1185,44.53
SOLOLA,SAN MARCOS LA LAGUNA,348,37.99,568,62.01
SOLOLA,SAN JUAN LA LAGUNA,2497,51.25,2375,48.75
SOLOLA,SAN PEDRO LA LAGUNA,1736,35.72,3124,64.28
SOLOLA,SANTIAGO ATITLAN,4128,34.20,7942,65.80
TOTONICAPAN,NIVEL DEPARTAMENTAL,29941,31.60,64805,68.40
TOTONICAPAN,TOTONICAPAN,11027,32.90,22485,67.10
TOTONICAPAN,SAN CRISTOBAL TOTONICAPAN,2094,20.32,8211,79.68
TOTONICAPAN,SAN FRANCISCO EL ALTO,2904,25.17,8635,74.83
TOTONICAPAN,SAN ANDRES XECUL,2193,28.90,5396,71.10
TOTONICAPAN,MOMOSTENANGO,4869,27.62,12761,72.38
TOTONICAPAN,SANTA MARIA CHIQUIMULA,3783,52.26,3456,47.74
TOTONICAPAN,SANTA LUCIA LA REFORMA,2258,50.33,2228,49.67
TOTONICAPAN,SAN BARTOLO,813,33.24,1633,66.76
QUETZALTENANGO,NIVEL DEPARTAMENTAL,56889,26.56,157337,73.44
QUETZALTENANGO,QUETZALTENANGO,9478,15.75,50691,84.25
QUETZALTENANGO,SALCAJA,778,11.31,6099,88.69
QUETZALTENANGO,OLINTEPEQUE,666,10.33,5784,89.67
QUETZALTENANGO,SAN CARLOS SIJA,830,13.28,5418,86.72
QUETZALTENANGO,SIBILIA,181,9.49,1726,90.51
QUETZALTENANGO,CABRICAN,3608,54.16,3054,45.84
QUETZALTENANGO,CAJOLA,1168,39.08,1821,60.92
QUETZALTENANGO,SAN MIGUEL SIGUILA,517,27.81,1342,72.19
QUETZALTENANGO,OSTUNCALCO,2612,22.36,9068,77.64
QUETZALTENANGO,SAN MATEO,278,11.43,2155,88.57
QUETZALTENANGO,CONCEPCION CHIQUIRICHAPA,957,27.54,2518,72.46
QUETZALTENANGO,SAN MARTIN SACATEPEQUEZ,1481,29.03,3620,70.97
QUETZALTENANGO,ALMOLONGA,1539,28.04,3949,71.96
QUETZALTENANGO,CANTEL,1451,13.99,8920,86.01
QUETZALTENANGO,HUITAN,1783,65.70,931,34.30
QUETZALTENANGO,ZUNIL,1197,26.23,3366,73.77
QUETZALTENANGO,COLOMBA,4855,39.80,7344,60.20
QUETZALTENANGO,SAN FRANCISCO LA UNION,423,25.82,1215,74.18
QUETZALTENANGO,EL PALMAR,2966,37.94,4851,62.06
QUETZALTENANGO,COATEPEQUE,11141,38.53,17776,61.47
QUETZALTENANGO,GENOVA,5661,54.92,4646,45.08
QUETZALTENANGO,FLORES COSTA CUCA,2282,40.87,3302,59.13
QUETZALTENANGO,LA ESPERANZA,649,10.80,5360,89.20
QUETZALTENANGO,PALESTINA DE LOS ALTOS,388,14.01,2381,85.99
SUCHITEPEQUEZ,NIVEL DEPARTAMENTAL,54030,34.82,101133,65.18
SUCHITEPEQUEZ,MAZATENANGO,5635,23.32,18524,76.68
SUCHITEPEQUEZ,CUYOTENANGO,2478,29.20,6009,70.80
SUCHITEPEQUEZ,SAN FRANCISCO ZAPOTITLAN,3634,38.73,5748,61.27
SUCHITEPEQUEZ,SAN BERNARDINO,1107,26.32,3099,73.68
