"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,94,"GTM","Guatemala",1,"Alta Verapaz","Departamento","Department",NA,NA
2,94,"GTM","Guatemala",2,"Baja Verapaz","Departamento","Department",NA,NA
3,94,"GTM","Guatemala",3,"Chimaltenango","Departamento","Department",NA,NA
4,94,"GTM","Guatemala",4,"Chiquimula","Departamento","Department",NA,NA
5,94,"GTM","Guatemala",5,"El Progreso","Departamento","Department",NA,"Guastatoya"
6,94,"GTM","Guatemala",6,"Escuintla","Departamento","Department",NA,NA
7,94,"GTM","Guatemala",7,"Guatemala","Departamento","Department",NA,NA
8,94,"GTM","Guatemala",8,"Huehuetenango","Departamento","Department",NA,NA
9,94,"GTM","Guatemala",9,"Izabal","Departamento","Department",NA,NA
10,94,"GTM","Guatemala",10,"Jalapa","Departamento","Department",NA,NA
11,94,"GTM","Guatemala",11,"Jutiapa","Departamento","Department",NA,NA
12,94,"GTM","Guatemala",12,"Petén","Departamento","Department",NA,NA
13,94,"GTM","Guatemala",13,"Quezaltenango","Departamento","Department",NA,NA
14,94,"GTM","Guatemala",14,"Quiché","Departamento","Department",NA,NA
15,94,"GTM","Guatemala",15,"Retalhuleu","Departamento","Department",NA,NA
16,94,"GTM","Guatemala",16,"Sacatepéquez","Departamento","Department",NA,NA
17,94,"GTM","Guatemala",17,"San Marcos","Departamento","Department",NA,NA
18,94,"GTM","Guatemala",18,"Santa Rosa","Departamento","Department",NA,NA
19,94,"GTM","Guatemala",19,"Sololá","Departamento","Department",NA,NA
20,94,"GTM","Guatemala",20,"Suchitepéquez","Departamento","Department",NA,NA
21,94,"GTM","Guatemala",21,"Totonicapán","Departamento","Department",NA,NA
22,94,"GTM","Guatemala",22,"Zacapa","Departamento","Department",NA,NA
