"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,94,"GTM","Guatemala",1,"Alta Verapaz",1,"Chahal","Municipio","Municipality",NA,NA
2,94,"GTM","Guatemala",1,"Alta Verapaz",2,"Chisec","Municipio","Municipality",NA,NA
3,94,"GTM","Guatemala",1,"Alta Verapaz",3,"Cobán","Municipio","Municipality",NA,NA
4,94,"GTM","Guatemala",1,"Alta Verapaz",4,"Fray Bartolomé de las Casas","Municipio","Municipality",NA,NA
5,94,"GTM","Guatemala",1,"Alta Verapaz",5,"Lanquín","Municipio","Municipality",NA,NA
6,94,"GTM","Guatemala",1,"Alta Verapaz",6,"Panzós","Municipio","Municipality",NA,NA
7,94,"GTM","Guatemala",1,"Alta Verapaz",7,"San Cristóbal Verapaz","Municipio","Municipality",NA,NA
8,94,"GTM","Guatemala",1,"Alta Verapaz",8,"San Juan Chamelco","Municipio","Municipality",NA,NA
9,94,"GTM","Guatemala",1,"Alta Verapaz",9,"San Pedro Carchá","Municipio","Municipality",NA,NA
10,94,"GTM","Guatemala",1,"Alta Verapaz",10,"Santa Cruz Verapaz","Municipio","Municipality",NA,NA
11,94,"GTM","Guatemala",1,"Alta Verapaz",11,"Santa María Cahabón","Municipio","Municipality",NA,NA
12,94,"GTM","Guatemala",1,"Alta Verapaz",12,"Senahú","Municipio","Municipality",NA,NA
13,94,"GTM","Guatemala",1,"Alta Verapaz",13,"Tactic","Municipio","Municipality",NA,NA
14,94,"GTM","Guatemala",1,"Alta Verapaz",14,"Tamahú","Municipio","Municipality",NA,NA
15,94,"GTM","Guatemala",1,"Alta Verapaz",15,"Tucurú","Municipio","Municipality",NA,NA
16,94,"GTM","Guatemala",2,"Baja Verapaz",16,"Cubulco","Municipio","Municipality",NA,NA
17,94,"GTM","Guatemala",2,"Baja Verapaz",17,"Granados","Municipio","Municipality",NA,NA
18,94,"GTM","Guatemala",2,"Baja Verapaz",18,"Purulhá","Municipio","Municipality",NA,NA
19,94,"GTM","Guatemala",2,"Baja Verapaz",19,"Rabinal","Municipio","Municipality",NA,NA
