Departamento,Municipio,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
Guatemala,Guatemala,"980,160","984,655","988,150","990,750","992,541","993,552","993,815","994,078","994,341","994,604","994,867","995,130","995,393",,,
Guatemala,Santa Catarina Pinula,"80,781","82,976","85,290","87,589","89,876","92,150","94,410","96,656","98,885","101,096","103,288","105,459","107,610",,,
Guatemala,San José Pinula,"63,448","65,531","67,730","69,939","72,161","74,395","76,640","78,896","81,161","83,433","85,712","87,997","90,287",,,
Guatemala,San José del Golfo,"5,596","5,656","5,721","5,781","5,837","5,889","5,937","5,981","6,021","6,057","6,090","6,118","6,143",,,
Guatemala,Palencia,"55,858","56,922","58,046","59,139","60,202","61,237","62,242","63,218","64,164","65,079","65,963","66,817","67,639",,,
Guatemala,Chinuautla,"115,843","118,502","121,306","124,064","126,780","129,454","132,084","134,670","137,210","139,701","142,143","144,535","146,876",,,
Guatemala,San Pedro Ayampuc,"62,963","65,279","67,728","70,205","72,713","75,251","77,819","80,416","83,041","85,693","88,371","91,074","93,801",,,
Guatemala,Mixco,"462,753","469,224","474,421","479,238","483,705","487,830","491,619","495,079","498,211","501,017","503,504","505,679","507,549",,,
Guatemala,San Pedro Sacatepéquez,"38,261","39,136","40,059","40,967","41,860","42,740","43,605","44,455","45,291","46,109","46,912","47,698","48,467",,,
Guatemala,San Juan Sacatepéquez,"196,422","202,074","208,035","213,975","219,905","225,821","231,721","237,245","242,394","247,173","251,596","255,674","259,420",,,
Guatemala,San Raimundo,"27,465","28,093","28,756","29,407","30,049","30,680","31,301","31,912","32,511","33,099","33,675","34,239","34,790",,,
Guatemala,Chuarrancho,"11,964","12,206","12,462","12,712","12,956","13,195","13,427","13,654","13,875","14,090","14,299","14,501","14,697",,,
Guatemala,Fraijanes,"40,114","41,327","42,607","43,886","45,167","46,448","47,730","49,012","50,292","51,570","52,846","54,118","55,387",,,
Guatemala,Amatitlán,"100,933","103,272","105,738","108,165","110,556","112,912","115,230","117,511","119,753","121,953","124,111","126,227","128,299",,,
Guatemala,Villa Nueva,"474,368","488,335","501,395","514,335","527,174","539,909","552,535","564,686","576,363","587,563","598,295","608,570","618,397",,,
Guatemala,Villa Canales,"131,984","135,618","139,449","143,258","147,050","150,823","154,577","158,309","162,017","165,698","169,349","172,970","176,559",,,
Guatemala,Petapa,"145,133","150,796","156,790","162,874","169,054","175,331","181,704","188,172","194,733","201,384","208,123","214,950","221,864",,,
El Progreso,Guastatoya,"20,895","21,299","21,724","22,176","22,654","23,153","23,667","24,189","24,724","25,277","25,841","26,410","26,977",,,
El Progreso,Morazán,"11,481","11,612","11,751","11,902","12,064","12,233","12,407","12,583","12,761","12,944","13,130","13,315","13,495",,,
El Progreso,San Agustín Acasagustlán,"37,544","38,132","38,755","39,418","40,124","40,861","41,618","42,384","43,167","43,974","44,794","45,616","46,429",,,
El Progreso,San Cristobal Acasaguastlán,"6,615","6,708","6,807","6,913","7,026","7,144","7,265","7,387","7,512","7,641","7,771","7,901","8,030",,,
El Progreso,El Jícaro,"10,700","10,753","10,813","10,882","10,960","11,044","11,130","11,215","11,302","11,392","11,482","11,569","11,651",,,
El Progreso,Sansare,"11,238","11,356","11,482","11,619","11,767","11,922","12,081","12,240","12,403","12,570","12,739","12,907","13,070",,,
El Progreso,Sanarate,"35,984","36,533","37,115","37,735","38,395","39,084","39,793","40,509","41,241","41,995","42,761","43,528","44,286",,,
El Progreso,San Antonio la Paz,"16,602","16,868","17,148","17,447","17,765","18,096","18,437","18,782","19,135","19,499","19,868","20,239","20,606",,,
Sacatepéquez,Antigua Guatemala,"44,101","44,455","44,786","45,098","45,393","45,669","45,921","46,148","46,351","46,534","46,693","46,827","46,931",,,
Sacatepéquez,Jocotenango,"20,021","20,193","20,357","20,511","20,658","20,796","20,924","21,040","21,146","21,242","21,328","21,402","21,463",,,
Sacatepéquez,Pastores,"13,904","14,194","14,481","14,768","15,054","15,338","15,619","15,895","16,169","16,439","16,705","16,966","17,220",,,
Sacatepéquez,Sumpango,"34,268","35,103","35,938","36,775","37,616","38,457","39,297","40,131","40,961","41,789","42,612","43,426","44,229",,,
Sacatepéquez,Santo Domingo Xenacoj,"9,506","9,711","9,915","10,119","10,322","10,524","10,725","10,923","11,119","11,313","11,504","11,692","11,876",,,
Sacatepéquez,Santiago Sactepéquez,"26,881","27,524","28,167","28,810","29,457","30,103","30,747","31,387","32,022","32,656","33,285","33,906","34,518",,,
Sacatepéquez,San Bartolomé,"7,380","7,684","7,996","8,317","8,647","8,986","9,333","9,688","10,051","10,422","10,802","11,190","11,584",,,
Sacatepéquez,San Lucas Sacatepéquez,"22,808","23,401","23,997","24,595","25,198","25,804","26,410","27,014","27,617","28,221","28,824","29,422","30,014",,,
Sacatepéquez,Santa Lucia Milpas Altas,"13,258","13,695","14,138","14,589","15,048","15,515","15,987","16,463","16,945","17,433","17,926","18,422","18,921",,,
Sacatepéquez,Magdalena Milpas Altas,"9,999","10,218","10,436","10,654","10,871","11,088","11,302","11,515","11,725","11,933","12,139","12,341","12,539",,,
Sacatepéquez,Santa María de Jesús,"15,952","16,134","16,308","16,477","16,641","16,798","16,947","17,088","17,221","17,347","17,465","17,573","17,672",,,
Sacatepéquez,Ciudad Vieja,"32,337","33,239","34,147","35,063","35,988","36,920","37,857","38,794","39,733","40,676","41,620","42,562","43,498",,,
Sacatepéquez,San Miguel Dueñas,"10,510","10,709","10,905","11,100","11,294","11,485","11,674","11,858","12,040","12,218","12,393","12,562","12,727",,,
Sacatepéquez,Alotenango,"22,954","24,013","25,107","26,237","27,407","28,616","29,862","31,144","32,464","33,824","35,223","36,659","38,130",,,
Sacatepéquez,San Antonio Aguas Calientes,"9,703","9,836","9,965","10,091","10,215","10,335","10,451","10,562","10,668","10,771","10,869","10,962","11,048",,,
Sacatepéquez,Santa Catarina Barahona,"3,307","3,351","3,393","3,434","3,474","3,513","3,551","3,587","3,621","3,654","3,685","3,714","3,742",,,
Chimaltenango,Chimaltenango,"105,056","109,663","114,440","119,398","124,545","129,875","135,378","141,045","146,889","152,919","159,128","165,504","172,038",,,
Chimaltenango,San José Poaquil,"22,881","23,260","23,639","24,019","24,400","24,779","25,154","25,523","25,886","26,244","26,596","26,939","27,271",,,
Chimaltenango,San Martín Jilotepeque,"69,927","71,448","72,982","74,532","76,099","77,676","79,253","80,823","82,389","83,956","85,515","87,058","88,579",,,
Chimaltenango,Comalapa,"40,815","41,520","42,226","42,933","43,644","44,353","45,055","45,747","46,429","47,104","47,769","48,418","49,048",,,
Chimaltenango,Santa Apolonia,"14,732","15,126","15,527","15,935","16,350","16,771","17,196","17,623","18,053","18,487","18,923","19,360","19,795",,,
Chimaltenango,Tecpán Guatemala,"76,420","78,732","81,091","83,502","85,968","88,479","91,027","93,602","96,211","98,856","101,530","104,222","106,926",,,
Chimaltenango,Patzún,"49,502","50,452","51,406","52,366","53,333","54,301","55,265","56,219","57,165","58,106","59,036","59,951","60,846",,,
Chimaltenango,Pochuta,"10,900","11,036","11,170","11,304","11,437","11,568","11,696","11,819","11,939","12,055","12,168","12,275","12,376",,,
Chimaltenango,Patzicía,"30,237","31,198","32,181","33,188","34,219","35,271","36,341","37,426","38,526","39,645","40,778","41,922","43,074",,,
Chimaltenango,Santa Cruz Balanyá,"7,483","7,612","7,740","7,869","7,998","8,127","8,255","8,380","8,504","8,627","8,748","8,866","8,980",,,
Chimaltenango,Acatenango,"21,092","21,453","21,814","22,177","22,541","22,903","23,263","23,616","23,965","24,310","24,649","24,981","25,302",,,
Chimaltenango,Yepocapa,"29,007","29,759","30,521","31,297","32,085","32,884","33,688","34,496","35,308","36,126","36,947","37,768","38,585",,,
Chimaltenango,San Andrés Itzapa,"28,336","29,369","30,430","31,524","32,649","33,805","34,987","36,194","37,426","38,686","39,971","41,278","42,603",,,
Chimaltenango,Parramos,"13,407","13,979","14,572","15,187","15,824","16,483","17,163","17,862","18,582","19,323","20,086","20,868","21,668",,,
Chimaltenango,Zaragoza,"22,636","23,292","23,960","24,643","25,339","26,047","26,764","27,488","28,219","28,959","29,706","30,457","31,208",,,
Chimaltenango,El Tejar,"20,126","21,078","22,068","23,100","24,176","25,293","26,452","27,650","28,891","30,176","31,505","32,875","34,286",,,
Escuintla,Escuintla,"141,918","144,797","147,617","150,390","153,131","155,825","158,456","161,009","163,495","165,922","168,277","170,543","172,708",,,
Escuintla,Santa Lucía Cotzumalguapa,"114,110","117,866","121,651","125,471","129,341","133,247","137,175","141,112","145,065","149,043","153,030","157,013","160,975",,,
Escuintla,La Democracia,"23,002","23,616","24,226","24,836","25,446","26,056","26,662","27,261","27,855","28,445","29,029","29,604","30,168",,,
Escuintla,Siquinalá,"20,128","20,843","21,567","22,301","23,047","23,803","24,567","25,336","26,112","26,895","27,685","28,477","29,270",,,
Escuintla,Masagua,"40,551","41,650","42,745","43,839","44,937","46,033","47,123","48,202","49,274","50,340","51,395","52,436","53,456",,,
Escuintla,Tiquizate,"53,313","54,402","55,469","56,520","57,558","58,579","59,577","60,546","61,489","62,411","63,306","64,168","64,992",,,
Escuintla,La Gomera,"56,162","57,230","58,273","59,293","60,299","61,284","62,241","63,166","64,061","64,931","65,771","66,574","67,336",,,
Escuintla,Guanagazapa,"15,786","16,190","16,591","16,991","17,390","17,788","18,182","18,571","18,956","19,337","19,714","20,083","20,444",,,
Escuintla,San José,"48,525","49,400","50,250","51,081","51,897","52,693","53,463","54,205","54,919","55,611","56,275","56,907","57,502",,,
Escuintla,Iztapa,"11,562","11,633","11,695","11,750","11,798","11,839","11,872","11,896","11,913","11,922","11,923","11,917","11,901",,,
Escuintla,Palín,"52,287","54,383","56,519","58,698","60,927","63,202","65,517","67,864","70,249","72,676","75,138","77,628","80,139",,,
Escuintla,San Vicente Pacaya,"15,559","15,938","16,314","16,687","17,060","17,430","17,795","18,154","18,509","18,859","19,203","19,540","19,868",,,
Escuintla,Nueva Concepción,"62,285","62,622","62,912","63,159","63,373","63,548","63,679","63,762","63,803","63,806","63,769","63,686","63,554",,,
Santa Rosa,Cuilapa,"36,925","37,922","38,979","40,116","41,324","42,594","43,914","45,274","46,682","48,147","49,659","51,204","52,771",,,
Santa Rosa,Barberena,"42,610","43,304","44,047","44,859","45,729","46,644","47,589","48,551","49,539","50,562","51,606","52,658","53,703",,,
Santa Rosa,Santa Rosa de Lima,"16,605","16,922","17,260","17,627","18,019","18,430","18,856","19,290","19,737","20,201","20,675","21,155","21,635",,,
Santa Rosa,Casillas,"22,336","22,700","23,089","23,515","23,971","24,450","24,945","25,450","25,968","26,504","27,051","27,602","28,150",,,
Santa Rosa,San Rafael Las Flores,"11,362","11,738","12,137","12,565","13,021","13,501","14,002","14,521","15,062","15,627","16,213","16,817","17,435",,,
Santa Rosa,Oratorio,"22,127","22,578","23,058","23,578","24,133","24,714","25,317","25,933","26,567","27,225","27,899","28,583","29,268",,,
Santa Rosa,San Juan Tecuaco,"8,969","9,155","9,354","9,569","9,799","10,039","10,288","10,543","10,806","11,078","11,358","11,641","11,925",,,
Santa Rosa,Chiquimulilla,"45,648","46,138","46,674","47,275","47,929","48,621","49,335","50,058","50,798","51,564","52,342","53,117","53,876",,,
Santa Rosa,Taxisco,"22,826","22,887","22,948","23,039","23,151","23,278","23,412","23,545","23,682","23,827","23,973","24,113","24,242",,,
Santa Rosa,Santa María Ixhuatán,"20,151","20,340","20,547","20,784","21,042","21,316","21,600","21,886","22,179","22,483","22,790","23,096","23,394",,,
Santa Rosa,Guazacapán,"14,484","14,622","14,774","14,947","15,136","15,336","15,543","15,752","15,966","16,188","16,413","16,636","16,854",,,
Santa Rosa,Santa Cruz Naranjo,"12,469","12,692","12,930","13,190","13,467","13,758","14,058","14,365","14,681","15,008","15,342","15,679","16,016",,,
Santa Rosa,Pueblo Nuevo Viñas,"22,633","23,071","23,537","24,044","24,584","25,150","25,737","26,336","26,953","27,592","28,246","28,908","29,571",,,
Santa Rosa,Nueva Santa Rosa,"30,288","30,650","31,044","31,482","31,956","32,456","32,973","33,496","34,033","34,588","35,152","35,715","36,270",,,
Sololá,Sololá,"97,363","102,411","107,646","113,078","118,722","124,572","130,621","136,859","143,299","149,951","156,807","163,856","171,088",,,
Sololá,San José Chacayá,"3,763","3,963","4,172","4,389","4,615","4,849","5,092","5,343","5,602","5,871","6,148","6,434","6,727",,,
Sololá,Santa María Visitación,"2,361","2,419","2,476","2,533","2,591","2,647","2,704","2,759","2,814","2,868","2,921","2,973","3,023",,,
Sololá,Santa Lucia Utatlán,"22,177","22,720","23,260","23,799","24,337","24,872","25,402","25,923","26,437","26,944","27,444","27,932","28,406",,,
Sololá,Nahualá,"61,583","62,802","64,000","65,181","66,348","67,496","68,616","69,702","70,757","71,785","72,779","73,733","74,641",,,
Sololá,Santa Catalina Ixtahuacán,"47,345","48,097","48,828","49,539","50,234","50,908","51,555","52,172","52,759","53,322","53,854","54,352","54,811",,,
