Departamento,Municipio,Cantidad de Radiobases
Alta Verapaz,Cahabón,21
Alta Verapaz,Chahal,9
Alta Verapaz,Chisec,68
Alta Verapaz,Cobán,207
Alta Verapaz,Fray Bartolomé de las Casas,42
Alta Verapaz,Lanquín,8
Alta Verapaz,Panzós,35
Alta Verapaz,Raxruhá,9
Alta Verapaz,San Cristóbal Verapaz,37
Alta Verapaz,San Juan Chamelco,23
Alta Verapaz,San Pedro Carchá,92
Alta Verapaz,Santa Catalina La Tinta,14
Alta Verapaz,Santa Cruz Verapaz,32
Alta Verapaz,Senahú,14
Alta Verapaz,Tactic,31
Alta Verapaz,Tamahú,7
Alta Verapaz,Tucurú,18
Baja Verapaz,Cubulco,29
Baja Verapaz,El Chol,16
Baja Verapaz,Granados,16
Baja Verapaz,Purulhá,24
Baja Verapaz,Rabinal,25
Baja Verapaz,Salamá,89
Baja Verapaz,San Jerónimo,29
Baja Verapaz,San Miguel Chicaj,27
Chimaltenango,Acatenango,25
Chimaltenango,Chimaltenango,336
Chimaltenango,Comalapa,29
Chimaltenango,El Tejar,51
Chimaltenango,Parramos,13
Chimaltenango,Patzicia,17
Chimaltenango,Patzún,45
Chimaltenango,Pochuta,15
Chimaltenango,San Andrés Iztapa,33
Chimaltenango,San José Poaquil,17
Chimaltenango,San Martín Jilotepeque,76
Chimaltenango,Santa Apolonia,19
Chimaltenango,Santa Cruz Balanyá,13
Chimaltenango,Tecpán Guatemala,74
Chimaltenango,Yepocapa,27
Chimaltenango,Zaragoza,20
Chiquimula,Camotán,31
Chiquimula,Chiquimula,316
Chiquimula,Concepción las Minas,30
Chiquimula,Esquipulas,90
Chiquimula,Ipala,50
Chiquimula,Jocotán,24
Chiquimula,Olopa,12
Chiquimula,Quezaltepeque,28
Chiquimula,San Jacinto,17
Chiquimula,San José la Arada,14
Chiquimula,San Juan Ermita,15
Escuintla,Escuintla,540
Escuintla,Guanagazapa,17
Escuintla,Iztapa,56
Escuintla,La Democracia,91
Escuintla,La Gomera,45
Escuintla,Masagua,64
Escuintla,Nueva Concepción,81
Escuintla,Palín,68
Escuintla,San José,131
Escuintla,San Vicente Pacaya,29
Escuintla,Santa Lucía Cotzumalguapa,90
Escuintla,Siquinalá,63
Escuintla,Tiquisate,71
Guatemala,Amatitlán,122
Guatemala,Chinautla,105
Guatemala,Chuarrancho,26
Guatemala,Fraijanes,145
Guatemala,Guatemala,2946
Guatemala,Mixco,578
Guatemala,Palencia,61
Guatemala,Petapa,119
Guatemala,San José del Golfo,45
Guatemala,San José Pinula,98
Guatemala,San Juan Sacatepéquez,284
Guatemala,San Pedro Ayampuc,46
Guatemala,San Pedro Sacatepéquez,70
Guatemala,San Raymundo,52
Guatemala,Santa Catarina Pinula,271
Guatemala,Villa Canales,181
Guatemala,Villa Nueva,415
Huehuetenango,Aguacatán,42
Huehuetenango,Chiantla,89
Huehuetenango,Colotenango,13
Huehuetenango,Concepción Huista,46
Huehuetenango,Cuilco,36
Huehuetenango,Huehuetenango,602
Huehuetenango,Jacaltenango,65
Huehuetenango,La Democracia,56
Huehuetenango,La Libertad,30
Huehuetenango,Malacatancito,104
Huehuetenango,Nentón,1661
Huehuetenango,San Antonio Huista,441
Huehuetenango,San Gaspar Ixchil,26
Huehuetenango,San Idelfonso Ixtahuacán,109
Huehuetenango,San Juan Atitán,12
Huehuetenango,San Juan Ixcoy,47
Huehuetenango,San Mateo Ixtatán,60
Huehuetenango,San Miguel Acatán,24
Huehuetenango,San Pedro Necta,36
Huehuetenango,San Pedro Soloma,40
Huehuetenango,San Rafael Petzal,168
Huehuetenango,San Rafel la Independencia,91
Huehuetenango,San Sebastián Coatán,206
Huehuetenango,San Sebastián Huehuetenango,24
Huehuetenango,Santa Ana Huista,34
Huehuetenango,Santa Bárbara,17
Huehuetenango,Santa Cruz Barillas,60
Huehuetenango,Santa Eulalia,28
Huehuetenango,Santiago Chimaltenango,53
Huehuetenango,Tectitán,7
Huehuetenango,Todos Santos Cuchumatán,35
Huehuetenango,Unión Cantinil,14
Izabal,El Estor,56
Izabal,Livingston,90
Izabal,Los Amates,64
Izabal,Morales,100
Izabal,Puerto Barrios,100
Izabal,Santo Tomás de Castilla,12
Jalapa,Jalapa,220
Jalapa,Mataquiescuintla,33
Jalapa,Monjas,40
Jalapa,San Carlos Alzatate,11
Jalapa,San Luis Jilotepeque,34
Jalapa,San Manuel Chaparron,19
Jalapa,San Pedro Pinula,37
Jutiapa,Agua Blanca,30
Jutiapa,Asunción Mita,47
Jutiapa,Atescatempa,33
Jutiapa,Comapa,23
Jutiapa,Conguaco,36
Jutiapa,El Adelanto,17
Jutiapa,El Progreso,161
Jutiapa,Jalpatagua,30
Jutiapa,Jerez,12
Jutiapa,Jutiapa,332
Jutiapa,Moyuta,51
Jutiapa,Pasaco,61
Jutiapa,Quesada,67
Jutiapa,San José Acatempa,70
Jutiapa,Santa Catarina Mita,92
Jutiapa,Yupiltepeque,6
Jutiapa,Zapotitlán,44
El Petén,Dolores,42
El Petén,El Chal,14
El Petén,Flores,52
El Petén,La Libertad,32
El Petén,Las Cruces,5
