DEPT,MUNI,UNE_NUM_VOTES,PERC_UNE,FCN_NUM_VOTES,PERC_FCN
Guatemala,Nivel Departamental,103064,17.00%,503052,83.00%
Guatemala,Distrito Central,66774,15.74%,357578,84.26%
Guatemala,Santa Catarina Pinula,3873,13.56%,24684,86.44%
Guatemala,San José Pinula,4379,20.57%,16909,79.43%
Guatemala,San José Del Golfo,921,28.39%,2323,71.61%
Guatemala,Palencia,2067,14.84%,11861,85.16%
Guatemala,Chinautla,9346,21.29%,34553,78.71%
Guatemala,San Pedro Ayampuc,4507,30.30%,10366,69.70%
Guatemala,Mixco,21662,13.72%,136238,86.28%
Guatemala,San Pedro Sacatepéquez,2070,13.45%,13326,86.55%
Guatemala,San Juan Sacatepéquez,6840,14.54%,40202,85.46%
Guatemala,San Raimundo,1757,21.80%,6303,78.20%
Guatemala,Chuarrancho,1826,33.23%,3669,66.77%
Guatemala,Fraijanes,3007,21.01%,11305,78.99%
Guatemala,Amatitlán,7669,21.05%,28765,78.95%
Guatemala,Villa Nueva,17780,15.48%,97064,84.52%
Guatemala,Villa Canales,10818,24.70%,32977,75.30%
Guatemala,Petapa,4542,12.26%,32507,87.74%
Sacatepéquez,Nivel Departamental,14734,13.96%,90783,86.04%
Sacatepéquez,Antigua Guatemala,2971,13.90%,18404,86.10%
Sacatepéquez,Jocotenango,1101,12.55%,7675,87.45%
Sacatepéquez,Pastores,1077,18.95%,4606,81.05%
Sacatepéquez,Sumpango,2043,22.51%,7034,77.49%
Sacatepéquez,Santo Domingo Xenacoj,714,18.93%,3057,81.07%
Sacatepéquez,Santiago Sacatepéquez,770,9.81%,7080,90.19%
Sacatepéquez,San Bartolomé Milpas Altas,278,10.82%,2291,89.18%
Sacatepéquez,San Lucas Sacatepéquez,1018,11.02%,8217,88.98%
Sacatepéquez,Santa Lucía Milpas Altas,452,9.01%,4565,90.99%
Sacatepéquez,Magdalena Milpas Altas,323,8.83%,3336,91.17%
Sacatepéquez,Santa María de Jesús,631,12.55%,4395,87.45%
Sacatepéquez,Ciudad Vieja,1008,12.12%,7308,87.88%
Sacatepéquez,San Miguel Dueñas,458,13.65%,2897,86.35%
Sacatepéquez,Alotenango,1148,17.96%,5243,82.04%
Sacatepéquez,San Antonio Aguas Calientes,397,10.68%,3321,89.32%
Sacatepéquez,Santa Catarina Barahona,345,20.31%,1354,79.69%
Chimaltenango,Nivel Departamental,34675,21.08%,129784,78.92%
Chimaltenango,Chimaltenango,3879,12.71%,26644,87.29%
Chimaltenango,San José Poaquil,3943,50.68%,3837,49.32%
Chimaltenango,San Martín Jilotepeque,4780,27.40%,12665,72.60%
Chimaltenango,Comalapa,3009,20.76%,11483,79.24%
Chimaltenango,Santa Apolonia,894,22.15%,3143,77.85%
Chimaltenango,Tecpán Guatemala,3112,19.33%,12984,80.67%
Chimaltenango,Patzún,4411,26.66%,12135,73.34%
Chimaltenango,Pochuta,798,31.31%,1751,68.69%
Chimaltenango,Patzicía,1822,17.75%,8442,82.25%
Chimaltenango,Santa Cruz Balanyá,739,22.89%,2490,77.11%
Chimaltenango,Acatenango,1729,27.05%,4663,72.95%
Chimaltenango,Yepocapa,1945,21.56%,7076,78.44%
Chimaltenango,San Andrés Itzapa,1261,17.24%,6054,82.76%
