latitude,longitude,altitude,accuracy,department,municipality,salary (hh)
14.64,-90.5,1499.6,10,30,501,7
14.93,-91.69,0,10,9,101,1
14.57,-90.74,0,1300,3,135,3
14.77,-91.22,2204.7,10,7,151,-1
  .  ,   .  ,     .  ,    .  ,3,2,3
14.83,-91.54,2377.9,10,9,90,4
16.81,-89.82,214.8,10,17,88,5
14.83,-91.51,2337.9,10,9,90,7
14.67,-90.82,1771.2,13.21,4,17,9
14.98,-91.55,2672.3,10,9,104,3
14.63,-90.67,2065.8,10,3,2,4
14.58,-90.74,1518.3,10,3,135,6
15.09,-91.46,2060.1,10,8,167,1
  .  ,   .  ,     .  ,    .  ,30,511,2
14.84,-91.5,2342.8,10,9,90,4
15.36,-90.48,1417.3,10,16,5,5
  .  ,   .  ,     .  ,    .  ,30,512,2
14.86,-90.07,499.9,10,24,29,1
14.57,-90.49,1544,10,1,51,4
14.55,-90.73,1534.6,10,3,135,5
14.79,-91.48,2097.4,10,9,109,2
14.86,-91.52,2367,10,9,90,5
14.56,-90.73,1560.8,10,3,135,8
  .  ,   .  ,     .  ,    .  ,30,512,7
14.72,-92.04,98.3,10,12,137,3
14.58,-91.62,400.7,10,25,127,2
14.83,-91.54,2271.3,10,9,90,5
14.65,-90.79,1779.4,10,4,24,4
14.85,-91.51,2375.8,10,9,90,8
14.86,-91.54,2779.9,10,9,90,8
14.82,-89.39,430.3,13.23,20,25,3
14.83,-91.54,2378.5,10,9,90,1
14.57,-90.73,1567.5,10,3,135,2
14.55,-90.73,1492.4,10,3,135,7
14.83,-91.53,2367.5,10,9,90,5
14.59,-90.53,1464.53,10,30,513,3
14.84,-91.53,2373.4,10,9,90,7
  .  ,   .  ,     .  ,    .  ,30,512,4
14.58,-90.74,0,68.4,3,135,11
14.64,-89.73,809,10,21,75,3
14.85,-91.51,2368.5,10,9,90,8
13.93,-91.15,-3.4,10,23,34,5
14.55,-90.74,1519.5,10,3,135,-1
14.57,-90.73,1591.1,10,3,135,-1
14.87,-91.63,2494.8,10,9,99,-1
14.57,-90.74,1559.6,10,3,135,-2
14.86,-91.53,2384,10,9,90,1
14.64,-90.5,1496,10,30,501,-1
14.18,-89.74,684.9,10,22,80,6
14.58,-90.74,1516.3,10,3,135,3
  .  ,   .  ,     .  ,    .  ,30,505,3
14.57,-90.73,1549.8,10,3,135,4
14.83,-91.51,2362.9,10,9,90,3
14.57,-90.74,2288.4,10,3,135,5
14.64,-89.44,740.7,10,20,28,4
14.77,-90.45,1138.2,10,1,49,4
  .  ,   .  ,     .  ,    .  ,30,511,7
14.55,-90.74,1631.6,12.51,3,135,7
14.57,-90.73,1584.8,10,3,135,3
14.23,-90.95,173,5,23,32,3
14.59,-91.52,615,10,10,161,3
14.85,-91.52,2365.6,10,9,90,5
15.31,-91.5,1889.7,30.02,13,58,1
16.2,-89.44,520.5,10,17,87,7
  .  ,   .  ,     .  ,    .  ,3,132,6
14.66,-90.82,1805.6,10,4,17,2
14.84,-91.53,2344.8,10,9,90,-1
14.49,-90.71,2075.2,10,3,130,1
14.93,-90.15,371.9,10,24,30,-1
14.85,-91.51,2320.9,10,9,90,3
14.57,-90.73,1620.3,10,3,135,3
15.13,-91.23,1900.8,10,8,166,4
14.63,-90.46,1540.9,10,30,516,-2
14.65,-91.56,894.2,10,9,108,3
14.83,-91.51,2322.8,10,9,90,7
14.57,-90.74,0,1500,3,135,5
14.6,-90.52,1519,17.33,27,148,7
14.57,-90.73,1575.6,10,3,135,2
14.86,-91.52,2392.4,10,9,90,5
14.57,-90.73,1482.6,10.06,3,135,6
14.53,-91.68,216.8,10,25,125,7
14.86,-91.53,2386.6,10,9,90,7
  .  ,   .  ,     .  ,    .  ,23,35,6
14.85,-91.51,2374.5,10,9,90,5
  .  ,   .  ,     .  ,    .  ,3,135,5
14.63,-90.45,1403.9,10,30,524,2
14.9,-91.61,2449.3,10,9,90,8
15.06,-90.24,1032,10,15,16,7
15.05,-89.58,193.4,10,33,171,6
15.43,-90.33,1361.4,10,16,6,3
14.84,-91.53,2374.2,10,9,90,7
14.57,-90.74,1541.1,10,3,135,6
  .  ,   .  ,     .  ,    .  ,1,44,6
14.67,-90.36,1385.6,10,1,45,-1
14.63,-90.93,2146,10,4,18,-1
14.91,-92.06,406.7,10,12,141,7
  .  ,   .  ,     .  ,    .  ,1,54,-2
15.43,-90.33,1371.8,10,16,6,9
  .  ,   .  ,     .  ,    .  ,30,511,5
14.85,-91.51,2343.5,10,9,90,3
  .  ,   .  ,     .  ,    .  ,9,90,4
15.06,-90.24,1022.4,10,15,16,6
14.57,-90.73,1614.7,21.19,3,135,3
  .  ,   .  ,     .  ,    .  ,3,130,-1
14.8,-89.55,451.4,10,20,26,2
14.94,-91.83,2413.5,10,12,146,5
14.84,-91.52,2337.9,16.64,9,90,7
14.79,-91.92,674.4,10,12,138,3
14.85,-91.51,2335.9,10,9,90,6
14.85,-91.51,2355.2,10,9,90,7
14.57,-90.74,1553.8,10,3,135,3
14.57,-90.74,1565.1,10,3,135,-2
14.96,-91.73,2359.3,10,12,145,4
14.58,-90.74,0,1700,3,135,3
16.66,-90.29,137.2,10,17,89,4
13.93,-91.15,-18.3,10,23,34,5
14.93,-91.91,1034,10,12,142,1
14.81,-91.49,2274,10,9,91,3
14.57,-90.74,1553.1,10,3,135,-1
  .  ,   .  ,     .  ,    .  ,1,46,-1
14.55,-90.74,1532.9,10,3,135,-1
14.18,-89.74,696.8,10,22,80,7
16.81,-89.82,209.6,10,17,88,5
14.57,-90.74,1557.4,10,3,135,7
14.55,-90.74,1542.8,10.78,3,135,5
  .  ,   .  ,     .  ,    .  ,30,507,6
14.82,-90.91,1974.3,10,4,20,2
14.55,-90.74,1532.6,10,3,135,7
14.99,-91.62,2811.2,10,9,94,6
15.36,-91.46,2042.6,10,13,55,5
15.06,-90.24,999.1,10,15,16,1
15.37,-90.43,1391.7,10,16,9,2
14.34,-91.02,399.7,10,23,39,7
14.77,-91.27,2509.3,10,7,153,2
14.69,-90.92,2105.5,10,4,22,1
14.85,-91.52,2347.2,10,9,90,3
14.58,-90.74,0,2000,3,135,4
  .  ,   .  ,     .  ,    .  ,3,135,6
  .  ,   .  ,     .  ,    .  ,30,507,7
  .  ,   .  ,     .  ,    .  ,30,512,6
14.57,-90.74,1685.6,10,3,135,2
14.96,-91.73,2337.9,10,12,145,7
14.52,-90.8,1465.2,10,3,131,2
  .  ,   .  ,     .  ,    .  ,3,135,-2
14.67,-90.46,1658.9,10,30,518,-1
  .  ,   .  ,     .  ,    .  ,3,135,9
  .  ,   .  ,     .  ,    .  ,30,505,8
14.84,-91.54,2365.1,10,9,90,7
14.89,-91.62,2442.4,10,9,92,5
14.83,-91.51,2327.9,10,9,90,7
14.74,-91.21,1658,10,7,152,2
14.86,-91.59,2503.8,10,9,100,8
14.58,-90.74,1505.1,10,3,135,8
14.86,-91.52,2408.1,10,9,90,-1
  .  ,   .  ,     .  ,    .  ,30,511,7
14.66,-89.84,1108.7,46.07,21,76,7
14.77,-90.37,1030.3,10,1,47,7
14.84,-91.53,2374.1,10,9,90,9
14.56,-91.65,321.7,10,25,125,7
15.13,-91.24,1893,11.46,8,166,1
14.8,-89.55,411.5,10,20,26,8
16.93,-89.89,129.2,10,17,83,6
15.32,-90.35,1476.4,10,16,11,3
14.86,-91.53,2382.6,10,9,90,6
14.88,-91.56,2481.2,10,9,106,9
14.63,-90.67,2105.1,10,3,2,3
14.74,-91.21,1937.1,14.86,7,152,3
14.63,-90.44,1508.3,10,30,524,7
  .  ,   .  ,     .  ,    .  ,3,135,8
14.87,-91.56,2503.1,10,9,106,3
15.31,-90.24,1106.2,10,16,10,2
16.65,-89.65,290.5,10,17,82,5
  .  ,   .  ,     .  ,    .  ,1,44,7
14.87,-91.54,2427.3,10,9,90,6
14.91,-92.06,379.1,10,12,141,8
14.96,-91.8,2399.4,10,12,143,7
14.59,-91.52,666.5,10,10,161,5
14.86,-91.93,994.3,10,12,136,3
15.81,-89.87,160.4,10,16,2,6
14.54,-90.54,0,22.69,30,521,-2
14.84,-91.53,2340.9,10,9,90,7
15.01,-91.07,2007.1,10,14,116,7
  .  ,   .  ,     .  ,    .  ,3,2,7
14.57,-90.74,1540,10,3,135,6
14.63,-90.68,2060.6,10,3,132,4
14.83,-91.54,2375.2,10,9,90,7
  .  ,   .  ,     .  ,    .  ,1,53,8
14.65,-90.74,1900.7,10,3,133,3
14.91,-91.36,2684.7,10,8,168,1
  .  ,   .  ,     .  ,    .  ,9,90,-2
16.93,-89.89,164.6,10,17,83,1
14.83,-91.51,2360.1,10,9,90,6
14.58,-90.5,1518.85,10,30,514,5
14.93,-90.15,374,10,24,30,5
15.26,-89.09,110.5,10,18,70,8
14.84,-91.53,2373,10,9,90,5
14.61,-90.53,1525.89,10,30,518,-1
14.57,-90.74,1547.1,10,3,135,8
14.55,-90.73,1495.1,10,3,135,8
16.64,-89.66,282.9,10,17,82,8
  .  ,   .  ,     .  ,    .  ,1,46,-2
14.63,-90,1437.6,10,21,73,6
14.84,-91.51,2356.4,10,9,90,9
14.69,-91.02,2242.1,10,4,601,7
14.55,-90.74,1539.2,10,3,135,-2
14.63,-90.93,2120.8,10,4,18,6
14.86,-91.52,2390.9,10,9,90,3
  .  ,   .  ,     .  ,    .  ,30,507,8
14.84,-91.5,2333.8,10,9,90,2
14.74,-91.21,1642.4,10,7,152,4
14.79,-91.19,0,4200,7,151,7
14.95,-91.44,2624.3,11.65,8,165,4
14.93,-90.14,388.4,10,24,30,6
14.79,-91.92,682.4,10,12,138,6
15.51,-91.87,1706.9,10,13,61,8
15.42,-89.81,953.3,10,16,10,7
13.93,-91.15,17.8,10,23,34,4
14.66,-90.47,1627.8,11.22,30,518,-1
15.83,-88.75,19.4,10,18,69,6
15.01,-91.07,1984.7,10,14,116,3
14.67,-90.48,1448.42,10,30,506,8
14.58,-90.54,1506.28,10,30,513,5
15.03,-91.15,2022.9,10,14,113,4
15.48,-88.83,175.1,10,18,71,-1
14.75,-91.15,1615.8,11.49,7,155,4
14.69,-91.02,2176,10,4,601,3
  .  ,   .  ,     .  ,    .  ,3,135,5
14.31,-90.97,401.5,10,23,38,5
14.67,-90.36,1315.8,10,1,45,8
15.24,-91.5,1733.6,10,13,56,7
14.63,-90.93,2138.4,10,4,22,6
14.84,-91.5,2341.4,10,9,90,3
  .  ,   .  ,     .  ,    .  ,30,507,7
  .  ,   .  ,     .  ,    .  ,3,135,3
14.86,-91.94,881.2,10,12,136,3
  .  ,   .  ,     .  ,    .  ,10,162,4
14.76,-90.99,2325.6,10,4,23,4
14.95,-91.44,2631.7,10,8,168,2
15.41,-91.67,1769.2,10,13,66,8
14.77,-91.27,2431.3,12.7,7,153,5
15.29,-90.12,557.7,10,16,13,3
14.77,-91.18,2081.4,10,7,156,5
  .  ,   .  ,     .  ,    .  ,3,135,7
  .  ,   .  ,     .  ,    .  ,1,49,4
14.59,-91.52,631.1,10,10,161,10
14.63,-89.99,1364.6,10,21,73,7
16.98,-89.9,199,10,17,86,3
14.66,-90.47,1757.6,10,30,518,7
14.66,-90.48,1470,16.44,30,506,3
  .  ,   .  ,     .  ,    .  ,9,90,5
14.84,-91.53,2352.4,10,9,90,4
14.68,-90.41,0,26.31,30,525,4
14.28,-90.3,882.2,10,27,147,6
14.84,-91.53,2362.3,10,9,90,3
14.84,-91.53,2349.8,10,9,90,7
14.54,-91.51,407.9,10,10,158,6
14.67,-90.46,1547.3,10,30,518,4
  .  ,   .  ,     .  ,    .  ,30,513,7
  .  ,   .  ,     .  ,    .  ,23,35,8
14.61,-90.68,2105.5,10,3,2,3
14.82,-90.52,1347,10,1,42,6
14.63,-90,1395.5,10,21,73,6
14.33,-91.02,380.5,10,23,39,6
14.93,-91.91,1021.6,10,12,142,7
14.85,-91.51,2383.3,10,9,90,3
  .  ,   .  ,     .  ,    .  ,3,135,6
