LON,LAT,LON,LAT
-90.0889,14.75373,-90.0889,14.75373
-90.455393,14.511538,-90.455393,14.511538
-89.287278,14.782639,-89.287278,14.782639
-90.6423,14.60339,-90.6423,14.60339
-90.47832,14.65104,-90.47832,14.65104
-91.763136,14.969361,-91.763136,14.969361
-91.542995,14.95887,-91.542995,14.95887
-91.508464,14.836967,-91.508464,14.836967
-91.508464,14.836967,-91.508464,14.836967
-90.63603,14.41439,-90.63603,14.41439
-90.496611,14.568111,-90.496611,14.568111
-90.3075,15.480667,-90.3075,15.480667
-91.05566,15.665468,-91.05566,15.665468
-91.360278,14.921111,-91.360278,14.921111
-91.360278,14.921111,-91.360278,14.921111
-89.49574,14.73405,-89.49574,14.73405
-90.039194,14.309139,-90.039194,14.309139
-90.40913,14.6422,-90.40913,14.6422
-90.51391,14.64773,-90.51391,14.64773
-90.592174,14.549788,-90.592174,14.549788
-90.460417,14.543472,-90.460417,14.543472
-90.486693,14.583899,-90.486693,14.583899
-92.108498,15.303279,-92.108498,15.303279
-90.740469,15.891893,-90.740469,15.891893
-90.91828,14.83189,-90.91828,14.83189
-89.813814,15.409478,-89.813814,15.409478
-90.49785,14.55371,-90.49785,14.55371
-90.78961,14.31664,-90.78961,14.31664
-92.07353,15.1495,-92.07353,15.1495
-91.06086,14.1121,-91.06086,14.1121
-90.540284,14.616438,-90.540284,14.616438
-90.46261,14.56784,-90.46261,14.56784
-90.485444,14.689767,-90.485444,14.689767
-88.78142,15.52764,-88.78142,15.52764
-89.99993,14.62875,-89.99993,14.62875
-91.549774,14.983268,-91.549774,14.983268
-90.444861,14.678236,-90.444861,14.678236
-90.44486,14.67824,-90.44486,14.67824
-89.15353,17.06841,-89.15353,17.06841
-90.51479,14.63512,-90.51479,14.63512
-90.51479,14.63512,-90.51479,14.63512
-90.313,15.472111,-90.313,14.278928
-90.054184,14.278928,-90.054184,14.56991
-90.72999,14.56991,-90.72999,14.188274
-91.298762,14.188274,-91.298762,14.818007
-89.387275,14.818007,-89.387275,15.34107
-91.41863,15.34107,-91.41863,14.843888
-90.561226,14.843888,-90.561226,15.162558
