Municipality,Code
Coban,1
Fray Bartolome de las Casas,2
Panzos,3
Chahal,4
San Cristobal Verapaz,5
San Juan Chamelco,6
San Pedro Carcha,7
Santa Catalina La Tinta,8
Santa Cruz Verapaz,9
Senahu,10
Tactic,11
Tamahu,12
Tucuru,13
Rabinal,14
Salama,15
San Geronimo,16
Chimaltenango,17
Patzicia,18
Parramos,19
San Jose Poaquil,20
San Jose Poaquil,21
Santa Cruz Balanya,22
Tecpan,23
El Tejar,24
Jocotan,25
Chiquimula,26
Ipala,27
Quezaltepeque,28
Guastatoya,29
Morazan,30
Escuintla,31
La Democracia (ESC),32
La Gomera,33
Sipacate,34
Palin,35
Puerto de San Jose,36
Masagua,37
Siquinala,38
Santa lucia Cotzumalguapa,39
Amatitlan,40
Chinautla,41
Chuarrancho,42
Frarijanes,43
Mixco,44
Palencia,45
Petapa,46
San Jose Del Golfo,47
San Jose Pinula,48
San Pedro Ayampuc,49
San Raimundo,50
Santa Catarina Pinula,51
Villa Canales,52
Villa Nueva,53
Guatemala,54
Chiantla,55
Malacatancito,56
Cuilco,57
Huehuetenango,58
Aguacatan,59
La Democracia (HUE),60
La Libertad (HUE),61
San Gaspar Ixchil,62
San Idelfonso Ixtahuacan,63
San Pedro Necta,64
San Rafael Petzal,65
San Sebastian Huehuetenango,66
Nenton,67
El Estor,68
Livingston,69
Los Amates,70
Morales,71
Puerto Barrios,72
Jalapa,73
Monjas,74
San Martin Jilotepeque,75
San Pedro Pinula,76
San Jose Acatempa,77
El Progreso,78
Jutiapa,79
Atescatempa,80
Yupiltepeque,81
El Chal,82
Flores,83
La Libertad,84
Poptun,85
San Jose Peten,86
San Luis Peten,87
Santa Ana,88
Las Cruces,89
Quetzaltenango,90
Almolonga,91
San Miguel Siguila,92
Cajola,93
Sibilia,94
Huitan,95
Cabrican,96
Cantel,97
San Mateo,98
San Juan Ostuncalco,99
Concepcion Chiquirichapa,100
Palestina De Los Altos,101
Salcaja,102
Olintepeque,103
San Carlos Sija,104
San Francisco La Union,105
La Esperanza,106
San Martin Sacatepequez,107
El Palmar,108
Zunil,109
Flores Costa Cuca,110
Genova,111
Coatepeque,112
Santa Cruz Del Quiche,113
Chichicastenango,114
San Pedro Jocopilas,115
Chiche,116
Chinique,117
Zacualpa,118
Joyabaj,119
Pachalum,120
Sacapulas,121
Cunen,122
Uspantan,123
Patzite,124
San Sebastian,125
Retalhuleu,126
Santa Cruz Mulua,127
El Asistal,128
Ciudad Vieja,129
Santa Maria de Jesus,130
San Miguel Duenas,131
Santiago Sacatepequez,132
Sumpango 133,133
Santa Lucia Milpas,134
Antigua Guatemala or Jocotenango,135
El Tumbador,136
Pajapita,137
Nuevo Progreso,138
San Jose El Rodeo,139
San Pablo,140
Malacatan,141
San Rafael pie de la Cuesta,142
San Marcos,143
San Pedro,144
San Antonio Sac,145
Esquipulas Palo Gordo,146
Cuilapa,147
Barberena,148
Nueva Rosa,149
San Rafael las Flores,150
San Jose Chacaya,151
Santa Crus la Laguna,152
Santa Lucia Utatlan,153
Nahuala,154
Panajachel,155
Solola,156
San Gabriel,157
Mazatenango,158
Cuyotenango,159
Samayac,160
San Francisco Zapotitlan,161
San Antonio Suchitepeque,162
Momostenango,163
San Cristobal Totonicapan,164
San Francisco El Alto,165
Santa Lucia La Reforma,166
San Bartolo,167
Totonicapan,168
Gualan,169
Teculutan,170
Rio Hondo,171
Municipio de prueba,300
Zona 1,501
Zona 2,502
Zona 3,503
Zona 4,504
Zona 5,505
Zona 6,506
Zona 7,507
Zona 8,508
Zona 9,509
Zona 10,510
Zona 11,511
Zona 12,512
Zona 13,513
Zona 14,514
Zona 15,515
Zona 16,516
Zona 17,517
Zona 18,518
Zona 19,519
Zona 20,520
Zona 21,521
Zona 22,522
Zona 23,523
Zona 24,524
Zona 25,525
Santa Domingo Xenacoj,600
Patzun,601
