A (...) Received Remittances From People Living Abroad?,How Much Did You Receive (...) Remittances From People Living Abroad?,Department,Unique Household Number
2,0,1,1
2,0,1,1
2,0,1,1
2,0,1,2
2,0,1,2
2,0,1,2
2,0,1,3
2,0,1,3
2,0,1,3
2,0,1,3
2,0,1,3
2,0,1,3
2,0,1,3
2,0,1,3
2,0,1,3
0,0,1,3
0,0,1,3
2,0,1,3
2,0,1,3
2,0,1,3
0,0,1,3
2,0,1,3
2,0,1,3
0,0,1,3
2,0,1,4
2,0,1,4
2,0,1,4
2,0,1,4
0,0,1,4
0,0,1,4
2,0,1,5
2,0,1,5
2,0,1,5
2,0,1,6
2,0,1,6
2,0,1,6
2,0,1,7
2,0,1,7
2,0,1,8
2,0,1,8
2,0,1,8
2,0,1,9
2,0,1,9
2,0,1,9
2,0,1,9
0,0,1,9
2,0,1,10
2,0,1,10
2,0,1,10
2,0,1,11
2,0,1,11
0,0,1,11
0,0,1,11
2,0,1,12
2,0,1,12
0,0,1,12
2,0,1,13
2,0,1,13
2,0,1,13
2,0,1,14
2,0,1,14
2,0,1,15
2,0,1,15
2,0,1,15
2,0,1,15
2,0,1,16
2,0,1,16
0,0,1,16
2,0,1,17
2,0,1,17
2,0,1,17
2,0,1,17
2,0,1,17
2,0,1,17
2,0,1,18
2,0,1,18
2,0,1,18
2,0,1,18
2,0,1,18
2,0,1,19
2,0,1,19
2,0,1,19
2,0,1,19
2,0,1,19
2,0,1,19
0,0,1,19
0,0,1,19
2,0,1,20
2,0,1,20
2,0,1,20
2,0,1,21
2,0,1,21
2,0,1,21
2,0,1,21
2,0,1,22
2,0,1,22
2,0,1,23
2,0,1,24
2,0,1,24
2,0,1,25
2,0,1,26
2,0,1,26
2,0,1,26
2,0,1,27
2,0,1,27
2,0,1,27
2,0,1,28
2,0,1,28
0,0,1,28
2,0,1,29
2,0,1,29
2,0,1,29
2,0,1,29
0,0,1,29
1,1050,1,29
2,0,1,30
2,0,1,30
2,0,1,30
2,0,1,30
2,0,1,31
2,0,1,31
2,0,1,32
2,0,1,32
2,0,1,32
2,0,1,33
2,0,1,33
2,0,1,33
2,0,1,34
2,0,1,34
2,0,1,34
2,0,1,34
2,0,1,34
2,0,1,34
2,0,1,35
2,0,1,35
2,0,1,35
2,0,1,35
0,0,1,35
1,2100,1,35
2,0,1,36
2,0,1,36
2,0,1,36
2,0,1,37
2,0,1,37
2,0,1,38
2,0,1,38
2,0,1,38
2,0,1,38
2,0,1,38
0,0,1,38
2,0,1,39
2,0,1,39
2,0,1,39
2,0,1,39
2,0,1,39
0,0,1,39
2,0,1,40
2,0,1,40
2,0,1,40
2,0,1,40
0,0,1,40
2,0,1,41
2,0,1,41
2,0,1,41
2,0,1,41
0,0,1,41
2,0,1,41
0,0,1,41
2,0,1,42
2,0,1,42
2,0,1,42
0,0,1,42
2,0,1,43
2,0,1,43
2,0,1,43
0,0,1,43
2,0,1,44
2,0,1,45
2,0,1,45
2,0,1,45
0,0,1,45
0,0,1,45
2,0,1,46
2,0,1,46
2,0,1,46
0,0,1,46
2,0,1,46
2,0,1,47
2,0,1,47
2,0,1,47
2,0,1,47
2,0,1,47
2,0,1,47
2,0,1,47
2,0,1,48
2,0,1,48
2,0,1,48
2,0,1,48
2,0,1,48
2,0,1,49
2,0,1,49
2,0,1,49
2,0,1,49
2,0,1,49
2,0,1,49
2,0,1,49
2,0,1,50
2,0,1,50
2,0,1,50
2,0,1,50
0,0,1,50
0,0,1,50
2,0,1,51
2,0,1,51
2,0,1,51
2,0,1,51
2,0,1,51
1,2310,1,51
2,0,1,52
2,0,1,52
2,0,1,53
2,0,1,53
2,0,1,53
2,0,1,54
2,0,1,54
2,0,1,54
2,0,1,54
2,0,1,55
2,0,1,55
2,0,1,55
0,0,1,55
0,0,1,55
2,0,1,56
2,0,1,56
2,0,1,56
2,0,1,57
2,0,1,57
2,0,1,57
2,0,1,57
2,0,1,58
2,0,1,58
2,0,1,58
2,0,1,58
2,0,1,58
2,0,1,58
2,0,1,58
2,0,1,58
2,0,1,58
0,0,1,58
0,0,1,58
2,0,1,59
2,0,1,59
2,0,1,59
